review,label
LOOK AT FAT BUMBLING THOR AND LAUGH and ignore the plot holes pls,0
"I feel like I'm wasting my time writing down my thoughts about Avengers: Endgame, because nothing I (or any critic) could say about it would ever dissuade a prospective viewer from seeing it. But after having had the chance to watch it at a preview screening, I can't help but say a few spoiler-free words.I'm not your average fanboy -- most long-running franchises have bored me at this point, and I couldn't care less about the newest Star Wars episode or whether there will be another film set in the Harry Potter universe.But Marvel films have been consistently watchable, with many solid entries and a few great ones (Winter Soldier, Ragnarok, the first Guardians of the Galaxy among others). And after Infinity War ended with a cliffhanger, I was looking forward to the conclusion. Boy, was I not disappointed!Very few highly-anticipated movies live up to the hype, but Avengers: Endgame is one of them. It's the perfect follow up to Infinity War, and the absolute zenith of the Marvel franchise. It's hard to see how they'll be able to top this one.It's surprisingly inventive (even when you know where the story is headed, the plot takes a few tangents getting there), emotionally engaging (a few people were crying in the theater) and surprisingly funny (this is probably the most I've laughed in a Marvel film since Thor: Ragnarok). Visually speaking, it's a true spectacle (topping Infinity War in the 'epic battle' stakes), and even though it's three hours long, it doesn't feel bloated. The only times I glanced at my watch was because I was hoping there would be more time before the end.Yes, it's a superhero movie, but an immensely entertaining one (especially for fans who have seen all the pictures that came before it: there are tons of references and inside jokes to reward the faithful).If ""Return of the King"" managed to win Best picture at the 2003 Oscars Avengers: Endgame deserves at least a nomination. It's as good (and in many ways better) a conclusion to a fantasy/genre series as the Peter Jackson film,.Go see it.",1
"Indulgent rubbish. Do yourself a favor and just watch infinity war because this film is boring and by the end, I just did not care anymore!",1
Avengers: Endgame is above all the best Marvel superhero movie to date. This is also the best and epic conclusion to the 21 movies in the first 10 years of the MCU. This is the epic culmination. The best storytelling ever told.,1
"Unbelievable. For Marvel to pull this tour de force of a film is unreal. 21 films. 21 films culminating in the conclusion of endgame. The scope is incredible, I will only say it's definitely one of the best Marvel films out there, and there are many. I don't want to spoil anything. Watch it!",1
"I laughed , cried and was speechless. 3 hours well used. It was a perfect ""ending"" of the Avenger Movies.
I will watch it again and again and again. 10 points well deserved!!!",1
Not as good as infinity war but a great movie,1
Emotional but bit messy.,1
Should have ended on infinity war,0
"The Russo Brothers will be forever known as the directors that failed a franchise and insulted the very fans that embraced it.I have no idea why they felt their finished product would pay homage to Stan Lee's legacy or the characters he brought to life but this ""closure"" to a decade of greatness was, in fact, the most disappointing 3-hours of character assassination in cinematic history.",1
"Don't get me wrong, the movie was great, but would I watch it a second time? Probably not - until the DVD comes out.I've seen infinity war at least 5 times, and it's one of my favorite films.That being said, i will compare the two movies for sure, and I just disliked the pacing, it was all over the place. Some Characters felt off, and some got little to no screen time, where others had too much.It's just too many characters for one movie, even though infinity war did it much better, with just as many characters. I just can't put my finger on it.The fighting scenes were alright, the first half lacked action, but the second half delivered some good solid scenes, nothing groundbreaking, but fun to watch. They can't reinvent the wheel, neither do they want to. They stick to what works, and that's alright.All in all, the movie was a close 8/10, the fanboys who give it a 10 are just blind to accept the mistakes the movie made. It's not a perfect film, even an 8 is really generous in my opinion. The Movie works with nostalgia and gives fans of the MCU the things they wanted, more or less.Still thinking Thor 3 was the best MCU movie. Sue me.",1
This movie proves the Russo brothers are in a league of their own when it comes to closing a franchise this big. In my opinion they pulled of the most satisfying ending this story arc could have.It's nothing without its previous 21 movies. Must watch for every movie fan.,1
"Rating 10/10
Absolute perfection end game !! Good acting performance to all the characters. Great cgi's. Truly epic & perfect ending to a long journey of marvel movie. Go see it you wont regret it !! Perfection Marvel Endgame !!",1
"I loved how the story of the Infinity War was conceived. With all the fight scenes and the emotional aspect of the movie, especially the end part, everything was superb. But this is supposed to be a wrap-up film. The directors and writers just destroyed it all. What's the point of doing a hype over Captain Marvel for this movie when you just give her a few minutes of screen time? It would be forgiven if you give her an amazing fight with the villain during the climax. But what have you done? With just a few kicks and punches and that's it. It doesn't give a scratch over Thano's face. What a crap!!!You also ruin Hulk! He is supposed to be the strongest Avenger after the events of Infinity War, after all the disappointment and frustration he has experienced when Hulk won't face Thanos. But this time, he's just as good as nothing Avenger. I wonder why they did not give Thanos and Hulk a fight of a lifetime. I'm really surprised that they did not even get face-to-face when all hell breaks loose.This movie is dubbed as an action movie but got 75% of the time talking and mumbling.There's no justice at all to those beloved characters and this movie. You have ruined my expectations.",1
EndLame is disappointing and messy,0
"Right in the beginning, you know how the movie is going to end...the good guys are going to win. How anti-climactic that was.. The stage is not set right (half of all humanity is gone, but the enormity of that is not explored...)...when you have Thanos give his explanation as to why he did what he did, I found myself thinking - well, he actually has a point.
In the meanwhile, every single superhero is given time to fight, say some cute things, some say a few smart things, a few even manage to say profoundly philosophical statements...
The quantum physics explanations used to explain how things are done, are plainly non sense... ..they just made stuff up as they went on.
Alls well that ends well. Except we spent 3 hours to find that out.",1
Great,1
I went in with the highest expectations and came out underwhelmed and disappointed. its nowhere near as good as infinity war !!!,1
"3 hours out of my life I will never get back.
not worth the hype. you think the soap opera is done by the ultimate battle.
think again. let us milk it and release another spider man. geez a lou.",1
"The dumbing down of Hulk and ruining his character by turning him into an utter wimp, turning Thor into a bumbling drunkard, really? Well done Disney on ruining yet another couple of hero's characters (See Luke Skywalker and Yoda in Disney's Last Jedi for extra confirmation of this) That's all I've got to say about this movie.",1
Mildly Overrated,1
Really Marvel??? Poor Poor Movie To End On!!,1
No,0
Probably one of the worst Avengers movie to date. The plot was extremely childish and did not make sense. Completely went astray from the plot described in the comics. Very disappointed...,1
"This movie feels more like a culmination of all the Marvel movies. A perfect closing to the MCU uptil that point. It brings back all the major characters and settings throughout the whole Marvel franchise. Talking about the movie after almost 5 years even today I get goosebumps. It marks the end of a few main characters that will literally drive any Marvel fan to tears. The plot revisits a few great Marvel moments from earlier movies literally bringing in a wave of nostalgia. The film has remarkable action, splendid visual effect, moving musical score and an even greater emotional weight. Kudos to the actors, directors, writers and the whole team for making such an awesome movie that has left a profound impact on our generation. This movie will always remain special to me.",1
The Most Overrated Movie Of All Time. (Will Always be the Most Overrated and most Forgettable Movie Of all Time.),1
Absolutely strange how they could cut so strong first part of Avengers and spoil the second one! All dialogues are weak and absurd same as a few plot lines. The last 5 minutes of the film is all-around failure!,1
"Basically the title. Left me speechless. I was probably too hyped to the point of annoyance but it broke my massive expectations to the point that I'm watching it again 2 more times this weekend. It leaves you at the edge of your seat and the 3rd act is just insane and a masterpiece. Infinity War was fantastic but this is insanity, in all the right ways. The best series finale that I hoped it would be and then some.",1
Avengers: Contradictiongame,1
"This Is Not A Movie,Not Cinema, This Is A Theme Park",1
Success does not equal quality,1
Good but a mess in the story department...,0
"Wow... All i can say is that the movie ended my entire childhood in the most perfect way!!
It kept you on your feet the whole way through!! Marvel somehow manages to add comedy to the most intense situations. its Awesome!! The battle scene was out of this world!! I just... wow.. Thank you marvel. I love you 3000!!!
ROBERT DOWN JUNIOR WON THE HERO OF THE YEAR AWARD THIS YEAR LAST WEEK AT THE MTV MOVIE AND TV AWARDS!!",1
"It's a long film at 3 hours the last one being better because this concludes the 10 year story in at great and satisfying way. The first 2 hours are build up that is ultimately paid off but I felt the middle dragged on I just wanted to get to the end. Infinity war kept me interested the whole time, more than endgame. It's definitely worth the whatch and after you don't have to worry about spoilers.8/10.",1
Not better than Infinity War,1
"THE STORY IS VERY WELL BUILT
THE CHEMISTRY OF THE CHARACTERS IS GREATCGI IS GOODTHE PERFORMANCE IS GOODIT WAS A GREAT LAST CHAPTER AFTER THIS FILMuDIDN'T WATCH ANYTHING ABOUT MARVEL BECAUSE NOW IT JUST MAKES GARBAGE.",1
"Don't listen to the haters, it's amazing! Seriously, this is the movie of the year!",1
One of the best superhero movies I have ever watched.All the actors really nailed their roles.Especially my one and only favorite iron man.Robert Downey Jr is irreplaceable in Iron man role.,1
Epic movie but no where near 10/10,1
"This is my own opinion, but so many things that didn't make sense in that movie... like so much stuff that could've been utilised in a better way and so many stupid things that were put on wrong hands. The image and the graphics are really good but the plot is weak.
Emotionally I give a 9/10
Graphics I give a 9/10
Storyline I give a 3/10",1
Really?,0
Best End of an era,1
They've really scrapped the bottom with this one! Oh so Bad!,1
Some good things but overall disappointing,1
Stupid ending ruined it all,1
"The best marvel movie ever, I cannot put into words how amazing this movie was, too good!",1
Great climax!,1
"It's funny to remember the reviews from 6 years ago in which someone talked about such a thing as a fan service. You see, going through some key events, meeting old versions/characters is a fanservice.Where are these commentators now, when literally all of Marvel's +-watchable projects are filled with fanservice? The rest are just bad and uninteresting.I don't understand any complaints. All the characters reach their peak of development and do the things they need for themselves. And the main villain manages to lose 2 times in 3 hours.Although repeated viewings do not give the same sensations as during the cinema premiere, I have a good memory, so I don't see any point in underestimating after a while. Few films can personally give me emotions of the same level. Maybe there won't be any more of them...",1
"Just ok,but youre a sheep if you believe its the best",1
3 stars for effort,0
"Avengers: Endgame is the final film to the Infinity saga in the Marvel Cinematic Universe. The story is emotional, unpredictable, unforgettable, complex and intense. The story does continue on right after infinity war had finsihed, and I thought it was a good way too start because the characters can give you an understanding of how they are feeling. How much loss they have witnessed.
During the three hour film, you care so much for the characters that it makes you want them to live through the whole time, leaving with no casualties. The acting by the cast is outstanding, none of their lines sounded cheesy. Chris Evans and Robert Downey Jr especially. The audience has never seen the two characters shine so bright and powerful over the last 11 years. The visuals are the most impressive, it is shown to be Oscar worthy and you would be hungry for more as the film continues on. The final battle was the bomb, the mother of all battles, better then Ready Player One's finale. It's so big and all of it fits in perfectly. Avengers Endgame is the perfect finale that has been set up over the last 11 years. Its a rewatchable film and you will never see the characters the same way as you have seen them from the past films.",1
Just watch this epic final of the best Marvel movie ever!,1
I was super excited to see this movie after Infinity War ended but I left rather disappointed. It was good but I felt like the first hour or so was wasted space. I did love Thor though.,1
"No words...absolutely incredible, THE best way to end the whole series. Watching all the movies to finish with this, every single hour was worth it, hats off to Marvel 👏🏽",1
"Despite what others may say or have said this film was far from predictable. I certainly lost my bets. I both laughed and cried during this film.
I loved every minute and none of those minutes were wasted. The writers outdid themselves on this one. I just hope the next ten years can live up to the first.
Here's hoping.",1
Just watched the new Avengers-movie. It's simply fantastic and a must-watch for every Marvel-Fan. It contains everything I expected and wished for an so much more. It's hard to put in words without a spoiler. Find out by yourself and enjoy.,1
Infinity war is head and shoulders above Endgame,1
"I just watched the Avengers movies and some of the infinity saga and I truly think this is a great movie, the CGI and acting were wonderful and the ending was truly a masterpiece and was probably the best ending for a movie saga (don't quote me on this). There are some low points but they are they don't effect the true rating which is a ten, this movie deservers the 8.4. Or an 8.5, I kinda have a bias. Cause i grew up with the marvel movies specifically Iron Man and stuff but the bias does not effect my rating. I live it and many others love it as well i regard this the end 0of the entire mcu from Iron Man - No Way Home, the other multiverse movies are mid and are very odd.",1
"No, no, and no again.",1
great performancesincredible visualsstory ends in a way to set worth a new generation of marvel stories/charactersperfect send off for the original actorsa must see for any marvel or superhero fan,1
Avengers: Endgame is simply the most marvelous superhero film ever made.,1
Avengers endgame,1
"""Avengers: Endgame"" - A Spectacular Culmination of Marvel's Cinematic UniverseEndgame is more than just a movie - it's the big, emotional payoff we'd been waiting for after over a decade of Marvel stories. From the very start, it hits you with the weight of what happened in Infinity War, but instead of rushing to the action, it takes its time, letting you feel everything.Every character gets their moment to shine. Tony Stark's journey comes full circle in a way that's heartbreaking and perfect. Steve Rogers? His ending feels like a warm hug to everyone who followed his story from day one. And the final battle... it's pure goosebumps. Every hero you've ever cheered for charging into the fight - it's impossible not to yell at the screen.The Russo brothers nailed the balance between epic action, gut-punch emotions, and those little bits of Marvel humor that make it all feel real. The soundtrack soars, the visuals are mind-blowing, and the crowd-pleasing moments are unforgettable.It's not just fan service - it's the ultimate thank-you letter to the fans. Endgame doesn't just wrap up the Infinity Saga, it sends it off in the most satisfying, tear-jerking, fist-pumping way possible.Verdict: A perfect finale. You'll laugh, cry, and probably rewatch it immediately.",1
"Let me start by saying THIS is how you wrap a saga!!!!
I loved this movie, it was an emotional rollercoaster from open to close, and a fitting way to pay tribute to the legend of Stan Lee.",1
"The climax that all fans deserve. Marvel still pulls out surprises that you couldn't dream of, allowing this to earn a spot anongst some of the greatest films made. The length yields an utterly satisfying scene, but honours the 11 years of the studio with the perfect ending.",1
"This was a fun movie, but it was by means no where near a 10/10. Infinity War was a much better movie to be honest. It had way better action and a better story. End Game's plot was a mess. Overall, it was an entertaining and fitting end to an era, but was by no means perfect.",1
"I watch all films with an open mind and went into this 3 hour long film without any preconceptions.This film really let itself down. The writers completely changed some of the characters, they tried to make it funny and failed at every attempt where it was cringe worthy and boring. The story was dragged out to its limit and went on for way to long.Don't waste your money at the cinema, maybe Google the outcome.",0
"Okay so Avengers- Endgame is the grand finale of the Marvel saga and, not gonna lie, it hits hard. Like, it's three hours long but somehow still feels like a sprint through your entire emotional range. Sad. Epic. Kinda hilarious. Then sad again. Then Captain America does something that made everyone in my theater scream like they just saw God. The plot? The Avengers are all depressed after Thanos did his big ""Snap"" thing and wiped out half of everything. So they go on a time-travel mission that's like a Marvel highlight reel on steroids. If you've seen the other movies, it's peak nostalgia. If you haven't, good luck understanding anything. Robert Downey Jr. And Chris Evans carried the emotional weight of the universe. Tony's arc? Brutal. Cap's ending? Chef's kiss. Also, the final battle? Bonkers. Like, every single Marvel character shows up and it's chaos in the best possible way. It made a bajillion dollars, broke every record ever, and people still talk about it like it's the Super Bowl of movies. It kind of was. Would recommend - just, maybe watch the other 21 movies first or you'll be very confused and also dead inside.",1
Not satisfied with Time Travel logic.,1
"I'm a huge fan of long slow-crawl movies (cue LOTR trilogy) but the first half of this culminating slog was way too slow and artificially melodramatic. This is in stark contrast to Infinity War's well edited, if not somewhat fractured fast paced scenes.If anything Infinity War could of used an extra 20min of dialogue and slower pacing edited out of Endgame. In the end, still a fun movie but not without obvious pacing flaws.",1
The Best end that avengers could have,1
I don't really know what all the hype is about. Bored watching this as it's the same again just rehashed. Glad to see the back of the Avengers to be honest.,1
"Endgame is certainly one of its kind. A movie that will be marked as the film of this decade. Building up from Iron Man to Captain Marvel, a 10 journey filled with joy, adventure and tears. And we need a perfect ending to all of that. Endgame is the perfect ending. A movie that has everything a fan will ever dream of, an amazing cast and a wonderful climax. It is such a huge payoff from 10 years worth of building up. To look at this from a Fan's perspective, it is an awesome movie and it is a masterpiece. But to look at this from a critic's perspective, it is not the best movie. It certainly lacks some elements to a perfect movie. But this to me, is such a wonderful movie and I definitely loved it. It has everything I wanted and I'm gonna give this movie a 9/10.",1
That's not fair to Thor,1
Very Disappointed,0
"Loved Endgame but with a lukewarm feeling for The Eternals and Shang Chi on the horizon, I wondered whether the MCU should make more logical choices for the next phase. Obviously there are development issues with the FF and X-Men franchises and DC's Aquaman may well scupper a potential Sub-Mariner movie, but perhaps these would work:1) Captain Britain (we heard 'Braddock' mentioned by Peggy Carter in Endgame; Brian's father perhaps?)
2) Alpha Flight. With the Avengers having run their course, perhaps their Canadian counterparts could step up. It stands to reason that other countries would want to copy the Avengers model (I know they are the Earth's protectors but they pretty much belong to the USA).
3) Moon Knight. Although I would love to see Daredevil done right on the big screen, maybe Marc Spector could fill the void.
4) Silver Surfer. Norrin Radd was the best thing about the FF sequel. A space-based movie would give him room to soar. Look to GotG or the Ron Lim Thanos issues of Silver Surfer for inspiration.
5) Ka-Zar. Although often perceived as a Tarzan rip-off, Lord Kevin Plunder's exploits could open up a whole new playground with the Savage Land.I wonder if we'll look back in 10 years and see if any of these came to pass...!",1
There are so many ways that the movie could have gone. But it is chosen to be this way. So the climax should not be criticised. The story is completed with no proper explanation for the rest of the avengers. Other avengers are not given importance in most of the places. Don't go to the movie if you know the spoilers. My experience has been spoiled by my friends.,1
Epic but left me several questions,1
A few issues but not bad at all!,1
Absolute peak of MCU,1
Could have been better!! If you compare it to IW doesn't hold a candle to it!!,1
"I had to take several breaks, walk the dogs, play videogames and clean the house, while watching this absolutely ridiculous and nonsensical pile of rubbish and now afterwards, I'm asking myself why I put myself through such suffering. To what end. I guess I was hoping there would be one scene or at least one line that put a smile on my face or made me feel anything at all except extreme pain and boredom. There wasn't any of that unfortunately, so I just wasted three hours of my life I could have spent on basically anything else and it would have been more worth while. I can't decide which one was more painful to watch, this or Aquaman? Both equally and utterly disappointing I guess.",1
If it wouldnt be SO ridiculous at some points...,1
"...and pull the hype train over.
Amazing fun, stunning spectacle great performances especially RDJ.
It's just not the whole sum of its parts.
Lots of great parts but not cohesively held.
Too much Comedy with one character essentially now just full comedy relief.
The most ridiculous coincidences and a couple of plot holes.
You will laugh, you will get gut punched and for some you will cry, but then you will wonder what really happened in that 3 hours.
Did it need 3 hours? No.
Is it better than infinity war? No.
Will you enjoy it? Definitely.",1
"For film industry's sake, stop comparing it with 'The Dark Knight' (2008)",0
Not a good film. Took me a few watches to realize.,1
"Let's talk about the enormity of this film and what Marvel just accomplished.First, this movie did not disappoint. It is very hard to contemplate a movie that will ever have as much or more anticipation than Endgame. Just think about the build up of this film. From May 2008 to April 2019, Marvel, in 21 films, introduced heroes, villains, plots, side plots, family members, love interests and countless Easter eggs that culminated into this film.Second, in a movie full with 10+ main characters, Marvel did an unbelievable job featuring each one and staying true to the characters we've all fallen in love with. This point could easily be a thesis paper for a doctoral candidate. The development and story arcs of characters, individually and collectively, in the midst of struggle and triumph is nothing short of amazing. The attention to detail and thoughtful craftsmanship is true artwork. One knock fans may have is the forced fandom moments. We have so many beloved characters but these moments comes as certain team-up pairings during the big fight that are great but also forced and stereotypical.Lastly, this movie is beauty in motion. Mainly, the movie looks and sounds wonderful. If there is one knock against the movie, the final fight at points was too dark for some of the characters. Otherwise, the final fight displays exactly what many of the DC movies have failed with, Hero power display. Marvel did such a great job of making you feel every punch, kick, hammer throw but also made you feel like you were in motion with each character (thus why I believe 4D would be very good). The sound editing is very good and the song selections in this movie help the viewers follow the emotional roller-coaster ride everyone believes they are in for.Marvel created near perfection for fans (or a near perfect ending). And the ending of this movie, isn't even technically the finish to Phase 3 of their universe. That would be Spider-man: Homecoming coming soon. Phase 4 and 5 are also already in the works. Everyone that was a part of this movie and the first 3 phases should be applauded, but their work is not yet done because for those with the greatest power comes great responsibility.",1
"⭐ 10/10 RDJ u r awesome. Great performance by director, cinematographer. Actions is excellent. Dialogues are extremely good.",1
"The first 50 minutes set up the movie very well but the second act lacks urgency and focus. The movie comes to a halt and feels as if it's meandering between scenes, not knowing what to do and not being very entertaining. The movie is also highly predictable and somewhat ruins Thanos's character due to a strange character decision. Iron man is given a lot to work with, which is compelling, same with Hawkeye. The ending is somewhat satisfying but also cringe. Overall it is a fine movie, not offensively bad but certainly not as good as it's predecessor.",1
"This movie past over and beyond any expectation. Don't miss watching it..... will definitely watch it again and again. ""Endgame"" The name fits perfectly.
Total respect",1
"It's every marvel fans dream come to reality, people can nip pick the time travel but that's not really a flaw because they done it right by giving the fans what they want, the movie has lot of fan services but it never hurts the plot it actually helps it and it shows how much the russo brothers cared about this universe, by time the movie ends you feel like a life time has past, the end of an era.",1
This film was hyped so much i couldn't wait to watch it....the film is good but i didnt get the wow factor i had when i watched infinity war.....all the trailers and the online leaks wasted the ending for me....i still love marvel movies and will go see every one that comes out but for me this was good but not as good as I/W,1
boring,0
J,1
This movie has the absolute perfect balance of fan service and harsh moments. Lean into the tears and suspend a little disbelief. This movie is everything we needed and more than we deserved.,1
"Endgame is a great popcorn action movie to ""finish"" a saga of popcorn action movies. This isn't serious entertainment and shouldn't be considered as such, and it reminds me of how George Lucas made Star Wars as an homage to the cheap serials like Flash Gordon. Especially as comic-sourced material, this is what the MCU is. Some part of me is actually a bit pained to like it as much as I do, given that it is just playing on base emotions to make money for a massive conglomerate like Disney.BUT... what a great way to end several major storylines that they invested in over the past 11 years. For people who have watched the saga, I feel like this is just the cherry on the top. My only complaint is something that you can't really get away from in superhero stories: the character ""powers"" are totally inconsistent from scene to scene, and movie to movie. This is a trope that there's no getting away from, because if characters like Captain Marvel, Thor, Scarlet Witch, and Hulk were always as powerful as they show flashes of, then the story wouldn't even be a thing. Any one of them could destroy Thanos in the blink of an eye, and have done similar feats in other stories (and even in other scenes within a given story). That they sometimes ""reduce"" their power to a lower level, without an explained mechanism, is pretty laughable, and makes some parts of the story a bit nonsensical. Yes, this constant Ex Machina is needed to maintain the drama and keep the plot going, but it's still something that takes me out of the story.What I really love about this movie, and the saga as a whole, is how good it is at developing the actual characters and their relationships. There are some similarities, but nobody is the same, and most of the arcs are believable. Thor's story, and apparent PTSD, is to me the best-done, but all of the majors (and some of the minors) are almost as good. I believed them. And for a popcorn action movie saga based on a comic series, I think that's a pretty high compliment.",1
I didn't like the acting. Thanos doesn't seem like the badass of the first movie,1
"Wow there are so many troll reviews by inarticulate rubes who can't even explain their opinions.People are entitled to their own tastes, and the super hero genre of the Marvel variety that is a pastiche of action/adventure, sci-fi, and fantasy doesn't appeal to everyone, but for what it is, for what it succeeds at being for its target audience, Avengers: Endgame is currently the benchmark as a satisfying grand finale in a cinematic universe.There can be no doubt that Infinity War and Endgame are masterpieces. That doesn't mean they're the best movies ever made, or that they're better than other masterpieces of different genres, it just means that it succeeds in every element required of it.The barrier of entry to The Avengers, especially the last two films, is quite high and requires someone to watch a lot of movies, and without an investment in those characters in the Marvel film that lead up to Infinity War and Endgame, a casual viewer will not care the same way a fan will. Yet that shouldn't detract from how skillfully the writers and directors manage to balance so many elements and fuse so many genres to deliver a unique piece of pop-entertainment that is full of humor, spectacle, and drama.The Avengers is not a particularly profound franchise. It doesn't attempt to be allegorical like The Lord of The Rings, it isn't as mind-expanding as The Matrix, it isn't as mystical as the original Star Wars, nor does it make any social commentary like The Dark Knight, but it has plenty of great archetypal characters who embody different aspects and struggles with heroism. Each character plays so well off the other and the cast has so much chemistry.No other franchise understands its characters better than Marvel, and no writers have a better grasp of heroic conflict and camaraderie than Christopher Markus and Stephen McFeely. Comparing their work in Endgame to other franchises like the DCU's Justice League or the current Star Wars is night and day.That isn't to say Endgame is perfect. A Masterpiece doesn't have to be perfect, and most aren't. Certain elements of the plot feel rushed and loopholes are glossed over. Not all the jokes land, but most are pretty funny. Captain Marvel is way too powerful which constantly makes her a Deus Ex Machina. There are any combination of nitpicky observations I could make about parts that don't exactly make sense, but those are minor.Admittedly, I do have a bit of Marvel fatigue after this. It almost feels like Endgame was so epic that I don't ever need to see another super hero movie again. Sure, I'll probably see the new Spider-Man, and even though I really like the films and the character, it's reaching a point of over-saturation.",1
The MCU should've ended here,1
Great movie i almost cried and great ending to the series of movies,1
"Nothing really happening ....Captain Marvel is in it for a bit...Black Panther was in it too, not sure whyDramatic scenes purely over the top....just seems like they tried to fit all 5000 Avengers into this film and actually forgot about the film3 hours, I'll never get back .......one good battle scene tho",0
Avengers endgame is one of a kind well done Marvel studios,1
"It's definitely not as strong an impression as it was on first viewing, which makes perfect sense, but I still think the film was extremely successful on multiple levels. One of the better things is that the three-hour film is not boring at any point, it seemed to me to last ""only"" two hours, which is not easy to achieve. I also look at this film as the finale or the last episode of a series you've been watching for years, which on the one hand is actually true. So much has happened before this film, so many characters and events. This film is just the crown of it all, one big rounded whole. It is obvious that the Russo brothers had a plan because it is obvious that they paid attention to details and some smaller moments that real fans will easily recognize. Of course I have some objections that are related to certain characters and some scenes, but given the type of film and how much the film offers, I can just get over it and forget about it. I think this Marvel project is unrepeatable and it's something we should appreciate no matter what you think of movies like this.",1
"A nice conclusion to the saga, it'll give you nerd chills",1
i used to cry after infinite war after endgame hmm not rly.,1
Son born in Iron Man year 2008....this is our inspiration,1
"The culmination of the infinity saga,this movie is going down in history as one of its kind. MIND-BLOWING MASTERPIECE.Words can't describe the grandiosity of this film. Worth watching more than once.",1
